id,round,number,points,primary_era,visual_required,uncertainty,priority,reason
adv-78-01,78,1,1,,,,1,시각자료 미확인;원본 미대조
adv-78-02,78,2,3,,,high,1,시각자료 미확인;원본 미대조;불확실성=high
adv-78-03,78,3,2,,,high,1,시각자료 미확인;원본 미대조;불확실성=high
adv-78-04,78,4,3,,,,1,시각자료 미확인;원본 미대조
adv-78-05,78,5,2,,,,1,시각자료 미확인;원본 미대조
adv-78-06,78,6,2,,,,1,시각자료 미확인;원본 미대조
adv-78-07,78,7,1,,,,1,시각자료 미확인;원본 미대조
adv-78-08,78,8,2,,,,1,시각자료 미확인;원본 미대조
adv-78-09,78,9,2,,,high,1,시각자료 미확인;원본 미대조;불확실성=high
adv-78-10,78,10,2,,,,1,시각자료 미확인;원본 미대조
adv-78-11,78,11,2,,,,1,시각자료 미확인;원본 미대조
adv-78-12,78,12,1,,,high,1,시각자료 미확인;원본 미대조;불확실성=high
adv-78-13,78,13,1,,,high,1,시각자료 미확인;원본 미대조;불확실성=high
adv-78-14,78,14,2,,,high,1,시각자료 미확인;원본 미대조;불확실성=high
adv-78-15,78,15,2,,,,1,시각자료 미확인;원본 미대조
adv-78-16,78,16,2,,,high,1,시각자료 미확인;원본 미대조;불확실성=high
adv-78-17,78,17,2,,,,1,시각자료 미확인;원본 미대조
adv-78-18,78,18,2,goryeo,,high,1,시각자료 미확인;원본 미대조;불확실성=high
adv-78-19,78,19,3,joseon-early,,high,1,시각자료 미확인;원본 미대조;불확실성=high
adv-78-20,78,20,3,,,,1,시각자료 미확인;원본 미대조
adv-78-21,78,21,3,,,,1,시각자료 미확인;원본 미대조
adv-78-22,78,22,2,,,high,1,시각자료 미확인;원본 미대조;불확실성=high
adv-78-23,78,23,3,,,high,1,시각자료 미확인;원본 미대조;불확실성=high
adv-78-24,78,24,1,,,,1,시각자료 미확인;원본 미대조
adv-78-25,78,25,2,,,high,1,시각자료 미확인;원본 미대조;불확실성=high
adv-78-26,78,26,1,,,high,1,시각자료 미확인;원본 미대조;불확실성=high
adv-78-27,78,27,2,,,high,1,시각자료 미확인;원본 미대조;불확실성=high
adv-78-28,78,28,2,joseon-late,,medium,1,시각자료 미확인;원본 미대조;불확실성=medium
adv-78-29,78,29,2,,,,1,시각자료 미확인;원본 미대조
adv-78-30,78,30,3,,,high,1,시각자료 미확인;원본 미대조;불확실성=high
adv-78-31,78,31,2,,,high,1,시각자료 미확인;원본 미대조;불확실성=high
adv-78-32,78,32,2,,,high,1,시각자료 미확인;원본 미대조;불확실성=high
adv-78-33,78,33,2,,,,1,시각자료 미확인;원본 미대조
adv-78-34,78,34,1,,,,1,시각자료 미확인;원본 미대조
adv-78-35,78,35,3,,,,1,시각자료 미확인;원본 미대조
adv-78-36,78,36,1,,,high,1,시각자료 미확인;원본 미대조;불확실성=high
adv-78-37,78,37,3,colonial,,high,1,시각자료 미확인;원본 미대조;불확실성=high
adv-78-38,78,38,2,,,,1,시각자료 미확인;원본 미대조
adv-78-39,78,39,2,,,high,1,시각자료 미확인;원본 미대조;불확실성=high
adv-78-40,78,40,2,,,,1,시각자료 미확인;원본 미대조
adv-78-41,78,41,2,,,,1,시각자료 미확인;원본 미대조
adv-78-42,78,42,2,,,,1,시각자료 미확인;원본 미대조
adv-78-43,78,43,2,,,,1,시각자료 미확인;원본 미대조
adv-78-44,78,44,2,,,high,1,시각자료 미확인;원본 미대조;불확실성=high
adv-78-45,78,45,1,,,,1,시각자료 미확인;원본 미대조
adv-78-46,78,46,2,,,,1,시각자료 미확인;원본 미대조
adv-78-47,78,47,1,,,,1,시각자료 미확인;원본 미대조
adv-78-48,78,48,3,,,,1,시각자료 미확인;원본 미대조
adv-78-49,78,49,2,,,,1,시각자료 미확인;원본 미대조
adv-78-50,78,50,2,,,high,1,시각자료 미확인;원본 미대조;불확실성=high
adv-77-01,77,1,1,prehistoric,,high,1,시각자료 미확인;원본 미대조;불확실성=high
adv-77-02,77,2,2,,,high,1,시각자료 미확인;원본 미대조;불확실성=high
adv-77-03,77,3,2,,,high,1,시각자료 미확인;원본 미대조;불확실성=high
adv-77-04,77,4,2,,,high,1,시각자료 미확인;원본 미대조;불확실성=high
adv-77-05,77,5,2,three-kingdoms,,high,1,시각자료 미확인;원본 미대조;불확실성=high
adv-77-06,77,6,3,three-kingdoms,,high,1,시각자료 미확인;원본 미대조;불확실성=high
adv-77-07,77,7,1,three-kingdoms,,high,1,시각자료 미확인;원본 미대조;불확실성=high
adv-77-08,77,8,2,north-south,,high,1,시각자료 미확인;원본 미대조;불확실성=high
adv-77-09,77,9,2,three-kingdoms,,high,1,시각자료 미확인;원본 미대조;불확실성=high
adv-77-10,77,10,2,north-south,,high,1,시각자료 미확인;원본 미대조;불확실성=high
adv-77-11,77,11,2,goryeo,,high,1,시각자료 미확인;원본 미대조;불확실성=high
adv-77-12,77,12,3,,,high,1,시각자료 미확인;원본 미대조;불확실성=high
adv-77-13,77,13,1,,,high,1,시각자료 미확인;원본 미대조;불확실성=high
adv-77-14,77,14,2,three-kingdoms,,high,1,시각자료 미확인;원본 미대조;불확실성=high
adv-77-15,77,15,3,,,high,1,시각자료 미확인;원본 미대조;불확실성=high
adv-77-16,77,16,2,opening,,high,1,시각자료 미확인;원본 미대조;불확실성=high
adv-77-17,77,17,2,,,high,1,시각자료 미확인;원본 미대조;불확실성=high
adv-77-18,77,18,1,goryeo,,high,1,시각자료 미확인;원본 미대조;불확실성=high
adv-77-19,77,19,1,joseon-early,,high,1,시각자료 미확인;원본 미대조;불확실성=high
adv-77-20,77,20,3,joseon-early,,medium,1,시각자료 미확인;원본 미대조;불확실성=medium
adv-77-21,77,21,2,,,high,1,시각자료 미확인;원본 미대조;불확실성=high
adv-77-22,77,22,2,,,high,1,시각자료 미확인;원본 미대조;불확실성=high
adv-77-23,77,23,2,,,high,1,시각자료 미확인;원본 미대조;불확실성=high
adv-77-24,77,24,3,joseon-late,,high,1,시각자료 미확인;원본 미대조;불확실성=high
adv-77-25,77,25,1,prehistoric,,high,1,시각자료 미확인;원본 미대조;불확실성=high
adv-77-26,77,26,2,joseon-late,,high,1,시각자료 미확인;원본 미대조;불확실성=high
adv-77-27,77,27,1,three-kingdoms,,high,1,시각자료 미확인;원본 미대조;불확실성=high
adv-77-28,77,28,2,joseon-late,,high,1,시각자료 미확인;원본 미대조;불확실성=high
adv-77-29,77,29,2,opening,,medium,1,시각자료 미확인;원본 미대조;불확실성=medium
adv-77-30,77,30,3,joseon-early,,high,1,시각자료 미확인;원본 미대조;불확실성=high
